country_iso2,country_name,year,AWPRI_forecast,lower_95,upper_95,trend
AU,Australia,2023,0.4035,0.3535,0.4535,↑
AU,Australia,2024,0.4011,0.3511,0.4511,↑
AU,Australia,2025,0.3987,0.3487,0.4487,↑
AU,Australia,2026,0.3964,0.3464,0.4464,↑
AU,Australia,2027,0.394,0.344,0.444,↑
AU,Australia,2028,0.3916,0.3416,0.4416,↑
AU,Australia,2029,0.3893,0.3393,0.4393,↑
AU,Australia,2030,0.3869,0.3369,0.4369,↑
BR,Brazil,2023,0.5659,0.5159,0.6159,↑
BR,Brazil,2024,0.5694,0.5194,0.6194,↑
BR,Brazil,2025,0.5729,0.5229,0.6229,↑
BR,Brazil,2026,0.5764,0.5264,0.6264,↑
BR,Brazil,2027,0.5798,0.5298,0.6298,↑
BR,Brazil,2028,0.5833,0.5333,0.6333,↑
BR,Brazil,2029,0.5868,0.5368,0.6368,↑
BR,Brazil,2030,0.5903,0.5403,0.6403,↑
CA,Canada,2023,0.3532,0.3032,0.4032,↓
CA,Canada,2024,0.3482,0.2982,0.3982,↓
CA,Canada,2025,0.3432,0.2932,0.3932,↓
CA,Canada,2026,0.3382,0.2882,0.3882,↓
CA,Canada,2027,0.3332,0.2832,0.3832,↓
CA,Canada,2028,0.3282,0.2782,0.3782,↓
CA,Canada,2029,0.3232,0.2732,0.3732,↓
CA,Canada,2030,0.3181,0.2681,0.3681,↓
FR,France,2023,0.3946,0.3446,0.4446,↓
FR,France,2024,0.3908,0.3408,0.4408,↓
FR,France,2025,0.3871,0.3371,0.4371,↓
FR,France,2026,0.3834,0.3334,0.4334,↓
FR,France,2027,0.3797,0.3297,0.4297,↓
FR,France,2028,0.3759,0.3259,0.4259,↓
FR,France,2029,0.3722,0.3222,0.4222,↓
FR,France,2030,0.3685,0.3185,0.4185,↓
DE,Germany,2023,0.3586,0.3086,0.4086,↓
DE,Germany,2024,0.3551,0.3051,0.4051,↓
DE,Germany,2025,0.3517,0.3017,0.4017,↓
DE,Germany,2026,0.3482,0.2982,0.3982,↓
DE,Germany,2027,0.3448,0.2948,0.3948,↓
DE,Germany,2028,0.3413,0.2913,0.3913,↓
DE,Germany,2029,0.3379,0.2879,0.3879,↓
DE,Germany,2030,0.3345,0.2845,0.3845,↓
IN,India,2023,0.5034,0.4534,0.5534,↑
IN,India,2024,0.5054,0.4554,0.5554,↑
IN,India,2025,0.5074,0.4574,0.5574,↑
IN,India,2026,0.5094,0.4594,0.5594,↑
IN,India,2027,0.5114,0.4614,0.5614,↑
IN,India,2028,0.5134,0.4634,0.5634,↑
IN,India,2029,0.5154,0.4654,0.5654,↑
IN,India,2030,0.5174,0.4674,0.5674,↑
IT,Italy,2023,0.4625,0.4125,0.5125,↓
IT,Italy,2024,0.463,0.413,0.513,↓
IT,Italy,2025,0.4634,0.4134,0.5134,↓
IT,Italy,2026,0.4639,0.4139,0.5139,↓
IT,Italy,2027,0.4643,0.4143,0.5143,↓
IT,Italy,2028,0.4648,0.4148,0.5148,↓
IT,Italy,2029,0.4652,0.4152,0.5152,↓
IT,Italy,2030,0.4657,0.4157,0.5157,↓
JP,Japan,2023,0.4578,0.4078,0.5078,↓
JP,Japan,2024,0.4542,0.4042,0.5042,↓
JP,Japan,2025,0.4505,0.4005,0.5005,↓
JP,Japan,2026,0.4469,0.3969,0.4969,↓
JP,Japan,2027,0.4432,0.3932,0.4932,↓
JP,Japan,2028,0.4396,0.3896,0.4896,↓
JP,Japan,2029,0.4359,0.3859,0.4859,↓
JP,Japan,2030,0.4322,0.3822,0.4822,↓
NL,Netherlands,2023,0.3633,0.3133,0.4133,↓
NL,Netherlands,2024,0.3594,0.3094,0.4094,↓
NL,Netherlands,2025,0.3555,0.3055,0.4055,↓
NL,Netherlands,2026,0.3515,0.3015,0.4015,↓
NL,Netherlands,2027,0.3476,0.2976,0.3976,↓
NL,Netherlands,2028,0.3437,0.2937,0.3937,↓
NL,Netherlands,2029,0.3397,0.2897,0.3897,↓
NL,Netherlands,2030,0.3358,0.2858,0.3858,↓
NZ,New Zealand,2023,0.4869,0.4369,0.5369,↑
NZ,New Zealand,2024,0.4877,0.4377,0.5377,↑
NZ,New Zealand,2025,0.4886,0.4386,0.5386,↑
NZ,New Zealand,2026,0.4895,0.4395,0.5395,↑
NZ,New Zealand,2027,0.4904,0.4404,0.5404,↑
NZ,New Zealand,2028,0.4913,0.4413,0.5413,↑
NZ,New Zealand,2029,0.4922,0.4422,0.5422,↑
NZ,New Zealand,2030,0.4931,0.4431,0.5431,↑
KR,South Korea,2023,0.4932,0.4432,0.5432,↑
KR,South Korea,2024,0.4915,0.4415,0.5415,↑
KR,South Korea,2025,0.4898,0.4398,0.5398,↑
KR,South Korea,2026,0.4881,0.4381,0.5381,↑
KR,South Korea,2027,0.4864,0.4364,0.5364,↑
KR,South Korea,2028,0.4847,0.4347,0.5347,↑
KR,South Korea,2029,0.483,0.433,0.533,↑
KR,South Korea,2030,0.4813,0.4313,0.5313,↑
ES,Spain,2023,0.4914,0.4414,0.5414,↑
ES,Spain,2024,0.4923,0.4423,0.5423,↑
ES,Spain,2025,0.4932,0.4432,0.5432,↑
ES,Spain,2026,0.4942,0.4442,0.5442,↑
ES,Spain,2027,0.4951,0.4451,0.5451,↑
ES,Spain,2028,0.496,0.446,0.546,↑
ES,Spain,2029,0.4969,0.4469,0.5469,↑
ES,Spain,2030,0.4978,0.4478,0.5478,↑
SE,Sweden,2023,0.349,0.299,0.399,↓
SE,Sweden,2024,0.3455,0.2955,0.3955,↓
SE,Sweden,2025,0.342,0.292,0.392,↓
SE,Sweden,2026,0.3385,0.2885,0.3885,↓
SE,Sweden,2027,0.335,0.285,0.385,↓
SE,Sweden,2028,0.3315,0.2815,0.3815,↓
SE,Sweden,2029,0.328,0.278,0.378,↓
SE,Sweden,2030,0.3245,0.2745,0.3745,↓
GB,United Kingdom,2023,0.3078,0.2578,0.3578,↓
GB,United Kingdom,2024,0.3041,0.2541,0.3541,↓
GB,United Kingdom,2025,0.3005,0.2505,0.3505,↓
GB,United Kingdom,2026,0.2969,0.2469,0.3469,↓
GB,United Kingdom,2027,0.2932,0.2432,0.3432,↓
GB,United Kingdom,2028,0.2896,0.2396,0.3396,↓
GB,United Kingdom,2029,0.286,0.236,0.336,↓
GB,United Kingdom,2030,0.2823,0.2323,0.3323,↓
US,United States,2023,0.3449,0.2949,0.3949,↑
US,United States,2024,0.3421,0.2921,0.3921,↑
US,United States,2025,0.3392,0.2892,0.3892,↑
US,United States,2026,0.3364,0.2864,0.3864,↑
US,United States,2027,0.3336,0.2836,0.3836,↑
US,United States,2028,0.3307,0.2807,0.3807,↑
US,United States,2029,0.3279,0.2779,0.3779,↑
US,United States,2030,0.3251,0.2751,0.3751,↑
AR,Argentina,2023,0.5686,0.5186,0.6186,↑
AR,Argentina,2024,0.571,0.521,0.621,↑
AR,Argentina,2025,0.5733,0.5233,0.6233,↑
AR,Argentina,2026,0.5757,0.5257,0.6257,↑
AR,Argentina,2027,0.578,0.528,0.628,↑
AR,Argentina,2028,0.5803,0.5303,0.6303,↑
AR,Argentina,2029,0.5827,0.5327,0.6327,↑
AR,Argentina,2030,0.585,0.535,0.635,↑
CN,China,2023,0.7577,0.7077,0.8077,↓
CN,China,2024,0.7602,0.7102,0.8102,↓
CN,China,2025,0.7628,0.7128,0.8128,↓
CN,China,2026,0.7653,0.7153,0.8153,↓
CN,China,2027,0.7678,0.7178,0.8178,↓
CN,China,2028,0.7704,0.7204,0.8204,↓
CN,China,2029,0.7729,0.7229,0.8229,↓
CN,China,2030,0.7754,0.7254,0.8254,↓
DK,Denmark,2023,0.4279,0.3779,0.4779,↓
DK,Denmark,2024,0.4252,0.3752,0.4752,↓
DK,Denmark,2025,0.4224,0.3724,0.4724,↓
DK,Denmark,2026,0.4197,0.3697,0.4697,↓
DK,Denmark,2027,0.417,0.367,0.467,↓
DK,Denmark,2028,0.4142,0.3642,0.4642,↓
DK,Denmark,2029,0.4115,0.3615,0.4615,↓
DK,Denmark,2030,0.4088,0.3588,0.4588,↓
KE,Kenya,2023,0.4423,0.3923,0.4923,↑
KE,Kenya,2024,0.4403,0.3903,0.4903,↑
KE,Kenya,2025,0.4384,0.3884,0.4884,↑
KE,Kenya,2026,0.4365,0.3865,0.4865,↑
KE,Kenya,2027,0.4346,0.3846,0.4846,↑
KE,Kenya,2028,0.4327,0.3827,0.4827,↑
KE,Kenya,2029,0.4308,0.3808,0.4808,↑
KE,Kenya,2030,0.4289,0.3789,0.4789,↑
MX,Mexico,2023,0.5268,0.4768,0.5768,↑
MX,Mexico,2024,0.5279,0.4779,0.5779,↑
MX,Mexico,2025,0.529,0.479,0.579,↑
MX,Mexico,2026,0.5301,0.4801,0.5801,↑
MX,Mexico,2027,0.5312,0.4812,0.5812,↑
MX,Mexico,2028,0.5323,0.4823,0.5823,↑
MX,Mexico,2029,0.5334,0.4834,0.5834,↑
MX,Mexico,2030,0.5345,0.4845,0.5845,↑
NG,Nigeria,2023,0.4184,0.3684,0.4684,↑
NG,Nigeria,2024,0.4192,0.3692,0.4692,↑
NG,Nigeria,2025,0.42,0.37,0.47,↑
NG,Nigeria,2026,0.4208,0.3708,0.4708,↑
NG,Nigeria,2027,0.4217,0.3717,0.4717,↑
NG,Nigeria,2028,0.4225,0.3725,0.4725,↑
NG,Nigeria,2029,0.4233,0.3733,0.4733,↑
NG,Nigeria,2030,0.4241,0.3741,0.4741,↑
PL,Poland,2023,0.4998,0.4498,0.5498,↓
PL,Poland,2024,0.5,0.45,0.55,↓
PL,Poland,2025,0.5003,0.4503,0.5503,↓
PL,Poland,2026,0.5005,0.4505,0.5505,↓
PL,Poland,2027,0.5007,0.4507,0.5507,↓
PL,Poland,2028,0.5009,0.4509,0.5509,↓
PL,Poland,2029,0.5012,0.4512,0.5512,↓
PL,Poland,2030,0.5014,0.4514,0.5514,↓
ZA,South Africa,2023,0.4622,0.4122,0.5122,↑
ZA,South Africa,2024,0.4655,0.4155,0.5155,↑
ZA,South Africa,2025,0.4688,0.4188,0.5188,↑
ZA,South Africa,2026,0.472,0.422,0.522,↑
ZA,South Africa,2027,0.4753,0.4253,0.5253,↑
ZA,South Africa,2028,0.4785,0.4285,0.5285,↑
ZA,South Africa,2029,0.4818,0.4318,0.5318,↑
ZA,South Africa,2030,0.485,0.435,0.535,↑
TH,Thailand,2023,0.6095,0.5595,0.6595,↑
TH,Thailand,2024,0.6141,0.5641,0.6641,↑
TH,Thailand,2025,0.6188,0.5688,0.6688,↑
TH,Thailand,2026,0.6235,0.5735,0.6735,↑
TH,Thailand,2027,0.6282,0.5782,0.6782,↑
TH,Thailand,2028,0.6329,0.5829,0.6829,↑
TH,Thailand,2029,0.6376,0.5876,0.6876,↑
TH,Thailand,2030,0.6423,0.5923,0.6923,↑
VN,Vietnam,2023,0.5991,0.5491,0.6491,↓
VN,Vietnam,2024,0.5995,0.5495,0.6495,↓
VN,Vietnam,2025,0.6,0.55,0.65,↓
VN,Vietnam,2026,0.6005,0.5505,0.6505,↓
VN,Vietnam,2027,0.6009,0.5509,0.6509,↓
VN,Vietnam,2028,0.6014,0.5514,0.6514,↓
VN,Vietnam,2029,0.6018,0.5518,0.6518,↓
VN,Vietnam,2030,0.6023,0.5523,0.6523,↓
