,PC1,PC2,PC3,PC4
farmed_animals_per_capita,-0.06537714626119766,0.20359733258169238,0.584079970866741,0.5054352209706177
aquaculture_pct,0.23555483839112354,0.3935773493845175,-0.20284259112892086,0.010464824223975988
animal_rights_risk,-0.3200676631654903,-0.030627185479658075,0.02884858420754959,-0.04505247933698505
rule_of_law_risk,0.33708695223624474,0.023185993064533183,0.12084434379419864,0.018536619399194824
animal_rights_delta_risk,0.07668339503316628,0.4486964293240197,0.19217156091520635,-0.2059210547615925
plant_protein_risk,-0.2598548626364574,0.022470907534943987,0.4379233928813556,-0.31253788657457837
civic_space_risk,0.26316268671787124,0.3330083423321124,0.07619040489146596,-0.1388677657446821
civil_liberties_risk,0.31152795310015186,0.21970681701006764,0.11328728893661272,-0.016012884647281178
ai_governance_risk,0.26753428125416767,-0.16475848951465344,0.3692947170852355,-0.0066122355450875196
meat_consumption_kg,-0.28466403127408474,0.08621136649989308,0.3716035108796812,-0.1996770116599613
public_concern_risk,0.335858876606721,-0.04737465074667248,-0.030330369879497634,-0.04139457124843545
ai_aw_research_risk,0.3160179778180346,-0.1595270514866197,0.08748462808809163,-0.12981641454571782
ai_sentience_risk,0.3056581631766607,-0.17094097077152215,0.1851422160637547,0.02314666383107554
speciesist_bias_ratio,-0.1108096912963246,0.44712185132554166,-0.13678527309646707,-0.4233340436653135
patent_intensity,-0.11609141433942813,0.3869890823832554,-0.13745901269164784,0.5866859375301822
