country_iso2,2004,2022,change,pct_change
CN,0.7296,0.8021,0.07250000000000001,9.9
AR,0.4994,0.5575,0.058099999999999985,11.6
BR,0.5299,0.5656,0.035699999999999954,6.7
TH,0.5526,0.586,0.033399999999999985,6.0
IN,0.4815,0.5117,0.03020000000000006,6.3
ZA,0.43,0.4486,0.018600000000000005,4.3
ES,0.4937,0.4939,0.00019999999999997797,0.0
NZ,0.491,0.488,-0.0030000000000000027,-0.6
PL,0.5229,0.518,-0.0049000000000000155,-0.9
IT,0.4837,0.4706,-0.0131,-2.7
NG,0.4327,0.4195,-0.01319999999999999,-3.1
MX,0.5281,0.5126,-0.01550000000000007,-2.9
VN,0.6289,0.6119,-0.017000000000000015,-2.7
FR,0.4633,0.4036,-0.059699999999999975,-12.9
DK,0.4787,0.4122,-0.0665,-13.9
GB,0.3767,0.3081,-0.0686,-18.2
AU,0.4498,0.3797,-0.0701,-15.6
SE,0.4158,0.3449,-0.07090000000000002,-17.1
DE,0.4256,0.3532,-0.07239999999999996,-17.0
KR,0.5283,0.4508,-0.07750000000000001,-14.7
US,0.4024,0.3245,-0.07789999999999997,-19.4
KE,0.4984,0.4181,-0.08029999999999998,-16.1
NL,0.4333,0.3485,-0.08480000000000004,-19.6
JP,0.5312,0.4418,-0.08939999999999998,-16.8
CA,0.4457,0.3526,-0.09309999999999996,-20.9
